Item,Price,Image,Reviews
Apple iPhone 13 Pro (256GB) - Sierra Blue,"1,19,900",https://www.amazon.in/Apple-iPhone-13-Pro-256GB/dp/B09G9BZGVF/ref=sr_1_18?crid=LUMVL1SFWW7M&keywords=iphone+13&qid=1668075910&qu=eyJxc2MiOiI0LjYyIiwicXNhIjoiNC4wNyIsInFzcCI6IjMuNDcifQ%3D%3D&sprefix=%2Caps%2C421&sr=8-18,4.6 out of 5 stars
Apple iPhone 13 Pro (128GB) - Graphite,"1,11,900",https://www.amazon.in/Apple-iPhone-13-Pro-128GB/dp/B09G91LWTZ/ref=sr_1_19?crid=LUMVL1SFWW7M&keywords=iphone+13&qid=1668075910&qu=eyJxc2MiOiI0LjYyIiwicXNhIjoiNC4wNyIsInFzcCI6IjMuNDcifQ%3D%3D&sprefix=%2Caps%2C421&sr=8-19,4.6 out of 5 stars
"Nillkin Case for Apple iPhone 13 (6.1"" Inch) Super Frosted Shield Pro Hard Back Soft Border (PC + TPU) Shock Absorb Cover Raised Bezel Camera Protect PC with Logo Cut Black","1,385",https://www.amazon.in/Nillkin-iPhone-Frosted-Shield-Protect/dp/B0B5XQ8XG1/ref=sr_1_20?crid=LUMVL1SFWW7M&keywords=iphone+13&qid=1668075910&qu=eyJxc2MiOiI0LjYyIiwicXNhIjoiNC4wNyIsInFzcCI6IjMuNDcifQ%3D%3D&sprefix=%2Caps%2C421&sr=8-20,5.0 out of 5 stars
Apple iPhone 14 128GB Midnight,"79,900",https://www.amazon.in/Apple-iPhone-14-128GB-Midnight/dp/B0BDHX8Z63/ref=sr_1_21?crid=LUMVL1SFWW7M&keywords=iphone+13&qid=1668075910&qu=eyJxc2MiOiI0LjYyIiwicXNhIjoiNC4wNyIsInFzcCI6IjMuNDcifQ%3D%3D&sprefix=%2Caps%2C421&sr=8-21,4.5 out of 5 stars
Apple iPhone 13 Pro (128GB) - Gold,"1,12,900",https://www.amazon.in/Apple-iPhone-13-Pro-128GB/dp/B09G93RSZF/ref=sr_1_22?crid=LUMVL1SFWW7M&keywords=iphone+13&qid=1668075910&qu=eyJxc2MiOiI0LjYyIiwicXNhIjoiNC4wNyIsInFzcCI6IjMuNDcifQ%3D%3D&sprefix=%2Caps%2C421&sr=8-22,4.6 out of 5 stars
Apple iPhone 14 Plus 128GB Purple,"89,900",https://www.amazon.in/Apple-iPhone-Plus-128GB-Purple/dp/B0BDJMSBXY/ref=sr_1_23?crid=LUMVL1SFWW7M&keywords=iphone+13&qid=1668075910&qu=eyJxc2MiOiI0LjYyIiwicXNhIjoiNC4wNyIsInFzcCI6IjMuNDcifQ%3D%3D&sprefix=%2Caps%2C421&sr=8-23,4.5 out of 5 stars
Apple iPhone 14 256GB Blue,"89,900",https://www.amazon.in/Apple-iPhone-14-256GB-Blue/dp/B0BDJ1B1CS/ref=sr_1_24?crid=LUMVL1SFWW7M&keywords=iphone+13&qid=1668075910&qu=eyJxc2MiOiI0LjYyIiwicXNhIjoiNC4wNyIsInFzcCI6IjMuNDcifQ%3D%3D&sprefix=%2Caps%2C421&sr=8-24,4.5 out of 5 stars
Apple iPhone 14 128GB Blue,"79,900",https://www.amazon.in/Apple-iPhone-14-128GB-Blue/dp/B0BDK62PDX/ref=sr_1_25?crid=LUMVL1SFWW7M&keywords=iphone+13&qid=1668075910&qu=eyJxc2MiOiI0LjYyIiwicXNhIjoiNC4wNyIsInFzcCI6IjMuNDcifQ%3D%3D&sprefix=%2Caps%2C421&sr=8-25,4.5 out of 5 stars
Apple iPhone 12 (128GB) - White,"53,900",https://www.amazon.in/New-Apple-iPhone-12-128GB/dp/B08L5S1NT7/ref=sr_1_26?crid=LUMVL1SFWW7M&keywords=iphone+13&qid=1668075910&qu=eyJxc2MiOiI0LjYyIiwicXNhIjoiNC4wNyIsInFzcCI6IjMuNDcifQ%3D%3D&sprefix=%2Caps%2C421&sr=8-26,4.5 out of 5 stars
Apple iPhone 14 256GB Midnight,"89,900",https://www.amazon.in/Apple-iPhone-14-256GB-Midnight/dp/B0BDJ6N5D6/ref=sr_1_27?crid=LUMVL1SFWW7M&keywords=iphone+13&qid=1668075910&qu=eyJxc2MiOiI0LjYyIiwicXNhIjoiNC4wNyIsInFzcCI6IjMuNDcifQ%3D%3D&sprefix=%2Caps%2C421&sr=8-27,4.5 out of 5 stars
Apple iPhone 14 128GB Purple,"79,900",https://www.amazon.in/Apple-iPhone-14-128GB-Purple/dp/B0BDJ213TX/ref=sr_1_28?crid=LUMVL1SFWW7M&keywords=iphone+13&qid=1668075910&qu=eyJxc2MiOiI0LjYyIiwicXNhIjoiNC4wNyIsInFzcCI6IjMuNDcifQ%3D%3D&sprefix=%2Caps%2C421&sr=8-28,4.5 out of 5 stars
Apple iPhone 12 (64GB) - Black,"48,900",https://www.amazon.in/New-Apple-iPhone-12-64GB/dp/B08L5T3S7T/ref=sr_1_29?crid=LUMVL1SFWW7M&keywords=iphone+13&qid=1668075910&qu=eyJxc2MiOiI0LjYyIiwicXNhIjoiNC4wNyIsInFzcCI6IjMuNDcifQ%3D%3D&sprefix=%2Caps%2C421&sr=8-29,4.5 out of 5 stars
Apple iPhone 14 Plus 128GB Starlight,"89,900",https://www.amazon.in/Apple-iPhone-Plus-128GB-Starlight/dp/B0BDJFTGK6/ref=sr_1_30?crid=LUMVL1SFWW7M&keywords=iphone+13&qid=1668075910&qu=eyJxc2MiOiI0LjYyIiwicXNhIjoiNC4wNyIsInFzcCI6IjMuNDcifQ%3D%3D&sprefix=%2Caps%2C421&sr=8-30,4.5 out of 5 stars
Apple iPhone 14 256GB Purple,"89,900",https://www.amazon.in/Apple-iPhone-14-256GB-Purple/dp/B0BDJB5KHG/ref=sr_1_31?crid=LUMVL1SFWW7M&keywords=iphone+13&qid=1668075910&qu=eyJxc2MiOiI0LjYyIiwicXNhIjoiNC4wNyIsInFzcCI6IjMuNDcifQ%3D%3D&sprefix=%2Caps%2C421&sr=8-31,4.5 out of 5 stars
Apple iPhone 12 (128GB) - Green,"53,900",https://www.amazon.in/New-Apple-iPhone-12-128GB/dp/B08L5VJWCV/ref=sr_1_32?crid=LUMVL1SFWW7M&keywords=iphone+13&qid=1668075910&qu=eyJxc2MiOiI0LjYyIiwicXNhIjoiNC4wNyIsInFzcCI6IjMuNDcifQ%3D%3D&sprefix=%2Caps%2C421&sr=8-32,4.5 out of 5 stars
Apple iPhone 12 (128GB) - (Product) RED,"53,900",https://www.amazon.in/New-Apple-iPhone-12-128GB/dp/B08L5WJD1C/ref=sr_1_33?crid=LUMVL1SFWW7M&keywords=iphone+13&qid=1668075910&qu=eyJxc2MiOiI0LjYyIiwicXNhIjoiNC4wNyIsInFzcCI6IjMuNDcifQ%3D%3D&sprefix=%2Caps%2C421&sr=8-33,4.5 out of 5 stars
